image,Default,Tuned,Change (%)
bad_weld_vid327_jpeg_jpg.rf.2d0f7cf59addc5e22099ff6fb38b117b.jpg,6,5,-16.67
bad_weld_vid368_jpeg_jpg.rf.504492f891bfb58bc2a81ca2ff1ddfab.jpg,4,3,-25.0
bad_weld_vid368_jpeg_jpg.rf.518ae45c6a35bb524847c996b2b598ea.jpg,3,3,0.0
bad_weld_vid368_jpeg_jpg.rf.ef5c2e199c1cfd6a11c3333bb364e486.jpg,3,3,0.0
bad_weld_vid372_jpeg_jpg.rf.285e1a6fe7b1595eb3c68342cb61946a.jpg,1,1,0.0
bad_weld_vid372_jpeg_jpg.rf.5dc8a338f3be20f35ca1357a0600260e.jpg,1,1,0.0
bad_weld_vid372_jpeg_jpg.rf.af351404e91df7ff6095060dfd5c4322.jpg,1,1,0.0
bad_weld_vid446_jpeg_jpg.rf.1ddcb01a66ebfe91e63ac14701b10c0f.jpg,1,1,0.0
bad_weld_vid446_jpeg_jpg.rf.bf4ba472b854be404ba0e985380a398b.jpg,1,1,0.0
bad_weld_vid446_jpeg_jpg.rf.ebd408df1a31e369a62852250d41f5dc.jpg,1,1,0.0
bad_weld_vid472_jpeg_jpg.rf.e2001a62484fb8346f87b456362a2d93.jpg,10,9,-10.0
bad_weld_vid472_jpeg_jpg.rf.e552c0a29ffd662d8a6486f68956035f.jpg,14,10,-28.57
bad_weld_vid472_jpeg_jpg.rf.f5bea80a7e4474877c08406c3dccd894.jpg,10,9,-10.0
bad_weld_vid560_jpeg_jpg.rf.330b147e0662f62c0ba698342aaac55b.jpg,1,1,0.0
bad_weld_vid560_jpeg_jpg.rf.34c32b07297e6a1d725558d28382d6e8.jpg,1,1,0.0
bad_weld_vid560_jpeg_jpg.rf.e2ca3c8502550c4a32774d23a1f103d9.jpg,1,1,0.0
bad_weld_vid577_jpeg_jpg.rf.3e0bd73542b7aff7166e0c3dce86248f.jpg,2,2,0.0
bad_weld_vid577_jpeg_jpg.rf.b83d9c815cdec871ee69bf66f377f7e3.jpg,2,2,0.0
bad_weld_vid577_jpeg_jpg.rf.bd5cb3faec6cc38c239a988d01a46649.jpg,2,2,0.0
bad_weld_vid641_jpeg_jpg.rf.1b2ebc7d3c5b952eb752a7bb6a6119d5.jpg,5,5,0.0
